item_sku_id,dc_id,date,quantity,vendibility,original_price,discount
6,4,2017-03-12,0.0,1.0,,
6,4,2017-04-29,0.0,1.0,,
6,4,2017-09-01,0.0,1.0,,
6,4,2017-09-13,0.0,1.0,,
6,4,2017-12-01,1.0,1.0,0.0148768596075,10.0
6,2,2017-02-28,0.0,1.0,,
6,2,2017-05-21,0.0,0.0,,
6,2,2017-09-24,0.0,1.0,,
6,5,2017-09-12,0.0,1.0,,
6,0,2017-02-28,0.0,1.0,,
6,0,2017-03-04,0.0,1.0,,
6,0,2017-03-13,0.0,1.0,,
6,0,2017-04-01,0.0,1.0,,
6,0,2017-05-22,0.0,1.0,,
6,3,2016-08-07,0.0,1.0,,
6,3,2017-02-06,1.0,0.0,0.0148768596075,8.31932773109
6,3,2017-03-27,0.0,1.0,,
2,1,2016-07-04,0.0,1.0,,
2,1,2017-01-18,0.0,1.0,,
2,1,2017-02-10,0.0,1.0,,
2,1,2017-08-19,0.0,1.0,,
2,3,2017-04-29,0.0,1.0,,
2,5,2017-10-15,0.0,1.0,,
2,0,2016-02-05,0.0,1.0,,
2,0,2016-05-24,0.0,1.0,,
2,0,2016-10-21,0.0,1.0,,
2,0,2017-04-23,0.0,1.0,,
2,2,2016-05-11,0.0,1.0,,
2,2,2017-03-29,0.0,1.0,,
2,2,2017-04-28,0.0,1.0,,
2,2,2017-08-14,0.0,1.0,,
2,2,2017-10-13,0.0,1.0,,
4,0,2017-08-13,2.0,0.0,0.00847605950744,4.41002949853
4,0,2017-10-14,2.0,0.0,0.00847605950744,4.26253687316
4,5,2017-09-15,1.0,0.0,0.00847605950744,4.26253687316
4,3,2017-09-07,1.0,0.0,0.00847605950744,4.26253687316
4,1,2017-08-28,0.0,0.0,,
4,1,2017-10-29,1.0,0.0,0.00847605950744,4.26253687316
13,0,2016-09-29,17.0,1.0,0.00225028128516,6.40555555556
13,0,2016-10-01,15.0,1.0,0.00225028128516,7.77777777778
13,2,2016-10-13,5.0,1.0,0.00225028128516,8.88888888889
13,2,2016-12-23,6.0,1.0,0.00225028128516,8.77777777778
13,2,2017-09-27,7.0,1.0,0.00225028128516,8.77777777778
13,1,2016-04-28,0.0,1.0,,
13,1,2017-04-03,7.0,1.0,0.00225028128516,8.77777777778
13,1,2017-04-21,6.0,1.0,0.00225028128516,8.77777777778
13,1,2017-08-02,4.0,1.0,0.00225028128516,8.77777777778
13,1,2017-12-16,14.0,1.0,0.00225028128516,8.77777777778
13,3,2016-03-01,0.0,0.0,,
13,3,2016-10-03,3.0,1.0,0.00225028128516,6.11111111111
13,3,2017-07-09,6.0,1.0,0.00225028128516,8.77777777778
13,4,2016-10-23,2.0,1.0,0.00225028128516,10.0
16,0,2017-12-27,0.0,1.0,,
19,3,2017-05-19,3.0,1.0,0.0123765470684,10.0
19,3,2017-08-13,6.0,1.0,0.0123765470684,10.0
19,3,2017-08-15,7.0,0.0,0.0123765470684,10.0
19,1,2017-07-02,3.0,1.0,0.0123765470684,10.0
19,1,2017-12-01,2.0,1.0,0.0123765470684,9.49494949495
19,0,2017-03-05,3.0,1.0,0.0123765470684,10.0
19,0,2017-12-16,9.0,1.0,0.0123765470684,10.0
19,2,2017-03-16,6.0,1.0,0.0123765470684,10.0
19,2,2017-03-17,8.0,1.0,0.0123765470684,10.0
19,2,2017-03-25,4.0,1.0,0.0123765470684,10.0
19,2,2017-12-16,4.0,1.0,0.0123765470684,10.0
19,4,2017-07-27,1.0,1.0,0.0123765470684,10.0
31,0,2017-10-26,0.0,0.0,,
31,4,2017-12-07,8.0,1.0,0.00486310788849,7.4293059126
31,4,2017-12-23,3.0,1.0,0.00444680585073,8.12482429013
31,4,2017-12-30,1.0,1.0,0.00361295161895,10.0
31,2,2017-10-17,3.0,1.0,0.00486310788849,7.4293059126
31,5,2017-12-20,0.0,1.0,,
17,3,2016-12-08,0.0,1.0,,
17,0,2017-05-19,31.0,1.0,0.00072509063633,10.0
17,0,2017-09-23,14.0,1.0,0.00072509063633,6.70689655172
17,0,2017-12-10,13.0,1.0,0.00072509063633,9.12068965517
17,2,2016-12-23,2.0,1.0,0.00072509063633,10.0
17,2,2017-02-02,0.0,0.0,,
17,5,2017-05-28,0.0,1.0,,
12,2,2017-12-24,6.0,1.0,0.00612576572072,8.75510204082
12,4,2017-05-20,14.0,1.0,0.00612576572072,8.34693877551
12,4,2017-10-18,4.0,1.0,0.00612576572072,8.08163265306
12,5,2017-05-27,6.0,1.0,0.00612576572072,8.75510204082
12,3,2017-07-13,32.0,1.0,0.00612576572072,8.92040816327
12,3,2017-08-03,25.0,1.0,0.00612576572072,8.66734693878
8,0,2016-03-16,2.0,1.0,0.00121265158145,10.0
8,0,2016-03-20,0.0,1.0,,
8,0,2016-07-18,1.0,1.0,0.00121265158145,10.0
8,0,2017-04-20,2.0,1.0,0.00128766095762,10.0
8,3,2016-01-23,3.0,1.0,0.00121265158145,10.0
8,3,2016-05-23,1.0,1.0,0.00121265158145,10.0
8,2,2016-04-26,0.0,0.0,,
8,2,2016-09-15,0.0,1.0,,
